epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,245.636,1.75019,2.71502,1.4295,0.5261,0.4625,0.45655,0.20733,1.85168,2.2205,1.49972,0.000665,0.000665,0.000665
2,479.941,1.82439,2.06034,1.50661,0.48078,0.5025,0.47369,0.23453,1.82155,1.91194,1.49428,0.00119983,0.00119983,0.00119983
3,713.35,1.78094,1.77943,1.50158,0.43048,0.46109,0.42541,0.20344,1.83844,2.00002,1.56226,0.00160266,0.00160266,0.00160266
4,946.406,1.73219,1.66912,1.45509,0.60697,0.51,0.5794,0.30435,1.73249,1.55314,1.47149,0.001406,0.001406,0.001406
5,1209.41,1.65187,1.48618,1.38941,0.68862,0.58051,0.65779,0.3507,1.68176,1.43104,1.4013,0.001208,0.001208,0.001208
6,1471.97,1.61272,1.40033,1.36343,0.63007,0.59614,0.62892,0.35228,1.64136,1.39314,1.39953,0.00101,0.00101,0.00101
7,1704.89,1.54487,1.34122,1.32664,0.64138,0.62149,0.6686,0.38924,1.52487,1.2978,1.33725,0.000812,0.000812,0.000812
8,1970.91,1.4646,1.22099,1.27986,0.67975,0.68983,0.73316,0.41703,1.52032,1.22002,1.33097,0.000614,0.000614,0.000614
9,2214.07,1.41762,1.16508,1.25827,0.65821,0.68,0.71943,0.43138,1.42978,1.19006,1.27656,0.000416,0.000416,0.000416
10,2446.47,1.38315,1.13629,1.23071,0.6908,0.6625,0.72618,0.43439,1.43083,1.14975,1.26972,0.000218,0.000218,0.000218
